protocol,track,method,partition,n_samples,n_true,n_fake,macro_f1,balanced_accuracy,precision_fake,recall_fake,f1_fake,fpr_true,accuracy,roc_auc,average_precision,threshold_q95,noise_rate,assignment_coverage,selected,parameters_json,eps_method,cluster_count_train,train_noise_rate,core_count_train,fit_seconds,parameter_name,parameter_value,eps,min_samples,cluster_count,cluster_sizes_json,noise_count,silhouette_cosine_nonnoise,ari,nmi,cluster_composition_json,k,stability_seeds,stability_pairwise_ari,stability_mean_pairwise_ari,selection_rule,validation_silhouette_cosine,core_count,valid,invalid_reason,features,fit_warnings
canonical_random_group,novelty_detection,OneClassSVM,validation,1440.0,720.0,720.0,0.6228583015105944,0.6555555555555556,0.8783783783783784,0.3611111111111111,0.5118110236220472,0.05,0.6555555555555556,0.8176736111111111,0.7758716796532157,-0.0023997548112961987,,,False,"{""nu"": 0.025}",,,,,,nu,0.025,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,OneClassSVM,validation,1440.0,720.0,720.0,0.5186136071887034,0.5833333333333333,0.8125,0.21666666666666667,0.34210526315789475,0.05,0.5833333333333334,0.8392881944444444,0.7851429348315969,0.28907495797599997,,,False,"{""nu"": 0.05}",,,,,,nu,0.05,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,OneClassSVM,validation,1440.0,720.0,720.0,0.4689924966331046,0.5527777777777778,0.7567567567567568,0.15555555555555556,0.25806451612903225,0.05,0.5527777777777778,0.861545138888889,0.7959542083157182,3.3926127700232978,,,True,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.1}",,,,,,nu,0.1,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,KMeansNovelty,test,1440.0,720.0,720.0,0.4351692103516921,0.5381944444444444,0.7619047619047619,0.1111111111111111,0.19393939393939394,0.034722222222222224,0.5381944444444444,0.8470659722222222,0.7750559756854677,2.030049808893606,,,True,"{""algorithm"": ""lloyd"", ""init"": ""k-means++"", ""n_clusters"": 8, ""n_init"": 20, ""random_state"": 42}",,,,,,,,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,IsolationForest,test,1440.0,720.0,720.0,0.972912891505423,0.9729166666666667,0.9620081411126187,0.9847222222222223,0.9732326698695951,0.03888888888888889,0.9729166666666667,0.9786014660493827,0.9750488535055448,0.08418247008884833,,,True,"{""contamination"": ""auto"", ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}",,,,,,,,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,LOF,test,1440.0,720.0,720.0,0.9479075977251055,0.9479166666666667,0.9600570613409415,0.9347222222222222,0.9472202674173118,0.03888888888888889,0.9479166666666666,0.9766126543209876,0.9659317442250601,-0.054244918135349506,,,True,"{""algorithm"": ""auto"", ""contamination"": ""auto"", ""metric"": ""minkowski"", ""n_jobs"": 1, ""n_neighbors"": 10, ""novelty"": true, ""p"": 2}",,,,,,,,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,OneClassSVM,test,1440.0,720.0,720.0,0.4685380116959064,0.55625,0.8,0.15,0.25263157894736843,0.0375,0.55625,0.8738329475308643,0.8266131957276945,3.3926127700232978,,,True,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.1}",,,,,,,,,,,,,,,,,,,,,,,,,,,
canonical_random_group,novelty_detection,DBSCANStyleNovelty,test,1440.0,720.0,720.0,0.9666557963533637,0.9666666666666667,0.9504021447721179,0.9847222222222223,0.9672578444747613,0.05138888888888889,0.9666666666666667,0.9597559799382716,0.9186412747516193,1.6370351220009305,0.53125,0.46875,True,"{""eps"": 0.5733831828891132, ""min_samples"": 5}",predefined k-distance quantiles; knee unstable (strength < 0.02 or endpoint),5.0,0.06851851851851852,1943.0,0.020304999998188578,,,0.5733831828891132,5.0,,,,,,,,,,,,,,,,,,
canonical_random_group,topic_discovery_kmeans,KMeansTopic,train,4320.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8.0,"{""0"": 894, ""1"": 80, ""2"": 532, ""3"": 505, ""4"": 421, ""5"": 882, ""6"": 198, ""7"": 808}",0.0,0.009047336876392365,0.07257639376336546,0.09191110596044805,"[{""cluster_id"": 0, ""fake_1"": 238, ""total"": 894, ""true_0"": 656}, {""cluster_id"": 1, ""fake_1"": 0, ""total"": 80, ""true_0"": 80}, {""cluster_id"": 2, ""fake_1"": 219, ""total"": 532, ""true_0"": 313}, {""cluster_id"": 3, ""fake_1"": 171, ""total"": 505, ""true_0"": 334}, {""cluster_id"": 4, ""fake_1"": 143, ""total"": 421, ""true_0"": 278}, {""cluster_id"": 5, ""fake_1"": 572, ""total"": 882, ""true_0"": 310}, {""cluster_id"": 6, ""fake_1"": 106, ""total"": 198, ""true_0"": 92}, {""cluster_id"": 7, ""fake_1"": 711, ""total"": 808, ""true_0"": 97}]",8.0,"[42, 17, 123]","[{""seed_a"": 42, ""seed_b"": 17, ""ari"": 0.5293039680002016}, {""seed_a"": 42, ""seed_b"": 123, ""ari"": 0.42717960961915197}, {""seed_a"": 17, ""seed_b"": 123, ""ari"": 0.3881030349563099}]",0.4481955375252212,maximum non-noise cosine silhouette on unlabeled validation; tie -> smaller k,,,,,,
canonical_random_group,topic_discovery,KMeansTopic,validation_selection,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,8.0,,,,maximum non-noise cosine silhouette on unlabeled validation; tie -> smaller k,0.009608596563339233,,,,,
